,gender,age,location,status,username,ethnicity,occupation,description,match_age,children,orientation,religion,smoking,drinking,intent,AFGHANISTAN
13740,female,32 y.o.,"Monterrey, N.L., M??xico",single,laurisr,hispanic,-,-,from 26 to 30,no children,Straight,Other,non-smoker,occasional drinker,"Friendship, Serious Relationship, Marriage",PERU
13748,female,-,"Tijuana, B.C., M??xico",single,chelodarka,hispanic,-,-,from 37 to 54,1-2 living with me,Straight,Other,non-smoker,social drinker,"Friendship, Romance, Serious Relationship",PERU
13750,male,63 y.o.,"San Luis R??o Colorado, Son., M??xico",divorced,ANTONZ,hispanic,comerciante,"HOMBRE SENCILLO QUE GUSTA DE LA VIDA , SIMPLE Y SIN COMPLICACIONES , QUE AMA LA BELLEZA DE LA MUJER Y LA NATURALEZA ... QUE DESEA COMPARTIR ESTO Y MAS",from 23 to 45,1-2 living elsewhere,Straight,Other,non-smoker,never,Friendship,PERU
13757,male,60 y.o.,"Cd Ju??rez, Chih., M??xico",divorced,isidrod,hispanic,-,-,from 40 to 53,more than 2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,"Serious Relationship, Marriage",PERU
13761,female,57 y.o.,"Guadalajara, Jal., M??xico",widowed,Bere1503,hispanic,Administrativo,-,from 55 to 65,1-2 living with me,Straight,Other,non-smoker,occasional drinker,Friendship,PERU
13842,male,43 y.o.,"Celaya, Gto., M??xico",married,fhere,hispanic,-,-,from 19 to 70,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,Friendship,PERU
13849,male,28 y.o.,"Cd Apodaca, N.L., M??xico",single,bros,hispanic,-,soy experto en videojuegos me gusta la musica los deportes y el anime,from 19 to 30,no children,Homosexual,Christian,non-smoker,never,Serious Relationship,PERU
13852,female,35 y.o.,"Reforma, Chis., M??xico",separated,dilciam,hispanic,-,-,from 29 to 37,1-2 living with me,Straight,Christian,social smoker,social drinker,Serious Relationship,PERU
13893,female,41 y.o.,"Ciudad de M??xico, CDMX, M??xico",divorced,deliac,black,-,-,from 33 to 40,want children,Straight,Other,non-smoker,never,"Romance, Serious Relationship, Marriage",PERU
14039,male,44 y.o.,"Ciudad de M??xico, CDMX, M??xico",single,Gekko38,hispanic,ISCT,-,from 28 to 35,no children,Straight,Christian,non-smoker,social drinker,Serious Relationship,PERU
14064,female,33 y.o.,"Veracruz, Ver., M??xico",single,Genesis7,hispanic,Ingeniero,-,from 27 to 35,no children,Straight,Christian,non-smoker,never,Serious Relationship,PERU
14103,female,53 y.o.,"Guadalajara, Jal., M??xico",widowed,Lataniah,hispanic,-,-,from 45 to 58,1-2 living with me,Straight,Christian,social smoker,social drinker,"Serious Relationship, Marriage",PERU
14107,male,39 y.o.,"Estado de M??xico, M??xico",single,donkyv,hispanic,-,-,from 19 to 40,1-2 living with me,Straight,Atheist,social smoker,social drinker,"Friendship, Romance, Serious Relationship",PERU
14142,male,37 y.o.,"Ciudad de M??xico, CDMX, M??xico",single,gueriuxf,white,-,-,from 28 to 50,no children,Straight,Spiritual,social smoker,social drinker,"Serious Relationship, Marriage",PERU
14145,female,25 y.o.,"Chihuahua, Chih., M??xico",single,Ceciliabustillos,mixed,-,-,from 19 to 25,no children,Straight,Other,light smoker,social drinker,"Fun, Romance, Serious Relationship",PERU
14198,female,43 y.o.,"Oaxaca, M??xico",single,fiona1103,hispanic,-,I am honest simple and too sensitive and I believe in love at first sight,from 37 to 60,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,Friendship,PERU
14229,male,64 y.o.,"Puebla, M??xico",divorced,carlosf2345678,white,-,-,from 35 to 63,1-2 living elsewhere,Straight,Spiritual,non-smoker,occasional drinker,"Serious Relationship, Marriage",PERU
14245,male,33 y.o.,"Cd Ju??rez, Chih., M??xico",single,Jesusskillet,hispanic,Mecanico disel,-,from 19 to 40,no children,Straight,Atheist,social smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship",PERU
14271,male,33 y.o.,"Cd Apodaca, N.L., M??xico",divorced,josea25,hispanic,-,-,from 19 to 30,1-2 living with me,Straight,Atheist,social smoker,social drinker,Serious Relationship,PERU
14315,female,25 y.o.,"Le??n, Gto., M??xico",single,22Alejandra,hispanic,Estudiante,-,from 19 to 29,no children,Straight,Other,non-smoker,social drinker,"Friendship, Romance",PERU
14358,male,44 y.o.,"Canc??n, Q.R., M??xico",single,JELK,white,-,-,from 34 to 37,no children,Straight,Other,non-smoker,never,Serious Relationship,PERU
14378,male,48 y.o.,"Cuernavaca, Mor., M??xico",single,Enigmamex,hispanic,-,-,from 19 to 25,no children,Straight,Christian,non-smoker,never,"Friendship, Romance, Serious Relationship, Marriage",PERU
14434,male,35 y.o.,"Canc??n, Q.R., M??xico",single,amilkarr,hispanic,-,-,from 19 to 30,no children,Straight,Christian,non-smoker,never,"Friendship, Romance, Serious Relationship",PERU
14512,female,50 y.o.,"Tijuana, B.C., M??xico",single,angell13,hispanic,-,-,from 30 to 60,1-2 living with me,Straight,Other,non-smoker,social drinker,Marriage,PERU
14518,female,53 y.o.,"Ciudad de M??xico, CDMX, M??xico",divorced,Ari,hispanic,Profesional,-,from 46 to 53,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,Marriage,PERU
14554,male,34 y.o.,"Zapopan, Jal., M??xico",single,Hxavier,hispanic,Artista,-,from 19 to 28,no children,Straight,Other,light smoker,social drinker,Marriage,PERU
14556,male,43 y.o.,"Estado de M??xico, M??xico",single,JoseRuben,hispanic,Sistemas,-,from 25 to 31,no children,Straight,Christian,non-smoker,never,Marriage,PERU
14590,male,48 y.o.,"Colima, Col., M??xico",divorced,charol750616,hispanic,empleado de gobierno,"alegre,soy hombre madura con la madures debida para aceptar lo que la vida me marque",from 19 to 35,1-2 living elsewhere,Straight,Other,social smoker,occasional drinker,"Serious Relationship, Marriage",PERU
14592,male,37 y.o.,"Guadalajara, Jal., M??xico",single,luisf3,hispanic,-,-,from 19 to 86,want children,Straight,Other,non-smoker,never,"Fun, Friendship",PERU
14627,male,32 y.o.,"Oaxaca, Oax., M??xico",single,gerardop,hispanic,-,-,from 19 to 40,no children,Straight,Christian,social smoker,occasional drinker,"Fun, Friendship, Romance, Marriage",PERU
14629,male,33 y.o.,"Michoac??n, M??xico",single,Luyer05,white,Estudiante universitario,-,from 19 to 86,no children,Homosexual,Other,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",PERU
14642,male,54 y.o.,"Tijuana, B.C., M??xico",divorced,JEB15,hispanic,-,-,from 25 to 35,1-2 living elsewhere,Straight,Christian,non-smoker,never,"Friendship, Romance, Serious Relationship, Marriage",PERU
14660,male,80 y.o.,"Tampico, Tamps., M??xico",in relationship,jesusr2,hispanic,-,-,from 40 to 65,more than 2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,Friendship,PERU
14693,male,48 y.o.,"Irapuato, Gto., M??xico",single,jaimem2,hispanic,-,-,from 35 to 45,no children,Straight,Spiritual,light smoker,occasional drinker,"Friendship, Romance, Serious Relationship",PERU
14702,female,35 y.o.,"Ciudad de M??xico, CDMX, M??xico",single,andreasotelo,hispanic,Estudiante,-,from 25 to 40,1-2 living with me,Straight,Atheist,social smoker,social drinker,Romance,PERU
14731,male,37 y.o.,"Mexicali, B.C., M??xico",divorced,jesus24,hispanic,almacenista,-,from 19 to 86,1-2 living elsewhere,Straight,Other,non-smoker,occasional drinker,"Friendship, Romance, Serious Relationship",PERU
14738,female,43 y.o.,"Ciudad de M??xico, CDMX, M??xico",single,mabem,hispanic,-,-,from 30 to 41,no children,Straight,Spiritual,social smoker,social drinker,"Friendship, Serious Relationship",PERU
14746,female,46 y.o.,"Tijuana, B.C., M??xico",separated,Liliana20,hispanic,Maestra y psicologa,-,from 28 to 50,1-2 living with me,Straight,Spiritual,non-smoker,never,"Friendship, Romance, Serious Relationship",PERU
14760,male,36 y.o.,"Tijuana, B.C., M??xico",single,Danielle,white,Llantero,-,from 19 to 86,no children,Straight,Christian,non-smoker,social drinker,Friendship,PERU
14778,male,59 y.o.,"Guadalajara, Jal., M??xico",separated,Jesusolmos,white,T??cnico agricola,-,from 45 to 55,no children,Straight,Christian,light smoker,occasional drinker,Serious Relationship,PERU
14814,female,35 y.o.,"Saltillo, Coah., M??xico",single,Coralito,white,-,"Alegre, detallista, amorosa, soy una mujer gordita, me encanta cocinar, salir a pasear al parque, no soy muy sociable, soy buena, amable, tierna, fiel.",from 27 to 35,want children,Straight,Christian,light smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship",PERU
14901,male,33 y.o.,"Manzanillo, Col., M??xico",single,camarenaj,hispanic,-,-,from 19 to 25,no children,Straight,Christian,non-smoker,never,"Serious Relationship, Marriage",PERU
14966,female,30 y.o.,"Guadalajara, Jal., M??xico",single,Lorenota,hispanic,Estudiante,-,from 19 to 40,no children,Straight,Other,non-smoker,occasional drinker,Romance,PERU
14982,female,34 y.o.,"Aguascalientes, M??xico",single,joanam,hispanic,-,-,from 25 to 86,1-2 living with me,Straight,Other,non-smoker,social drinker,"Romance, Serious Relationship",PERU
14993,male,43 y.o.,"Guadalupe, N.L., M??xico",single,jesov,hispanic,-,-,from 19 to 86,want children,Straight,Other,social smoker,social drinker,Marriage,PERU
14995,female,49 y.o.,"Veracruz, Ver., M??xico",divorced,Floreliz,hispanic,Oficina,"Me considero una mujer sencilla, respetuosa con valores Morales, lea, muy rom??ntica, creo en el amor verdadero. Busco lo mismo que ofrezco.",from 38 to 55,1-2 living with me,Straight,Other,non-smoker,never,"Friendship, Serious Relationship, Marriage",PERU
15021,male,44 y.o.,"Xonacatl??n, M??x., M??xico",single,leonelr2,hispanic,-,-,from 22 to 27,no children,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,PERU
15027,male,43 y.o.,"Playa del Carmen, Q.R., M??xico",single,leonelp,hispanic,-,-,from 19 to 44,no children,Homosexual,Other,non-smoker,never,"Friendship, Romance, Serious Relationship",PERU
15040,male,34 y.o.,"Acapulco, Gro., M??xico",single,carlosc3,hispanic,-,-,from 19 to 40,no children,Straight,Christian,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",PERU
15047,female,40 y.o.,"Tijuana, B.C., M??xico",widowed,Hogass,hispanic,-,-,from 35 to 45,1-2 living with me,Straight,Christian,non-smoker,never,Friendship,PERU
15049,male,51 y.o.,"Santiago de Quer??taro, Qro., M??xico",divorced,carlosa19,hispanic,-,-,from 34 to 44,want children,Straight,Christian,non-smoker,occasional drinker,"Friendship, Serious Relationship, Marriage",PERU
15080,male,32 y.o.,"Ciudad de M??xico, CDMX, M??xico",single,GUSTAVOMX,native american,MEDICO VETERINARIO ZOOTECNISTA,"Soy un a persona que cree que la empatia es la puerta al mundo , me gusta mucho conocer gente , conozco mucha de mi pais , pero no de otros paises y se me hace muy interesante saber que piensan fuera de mi pais .


I am a person who believes that empathy is the door to the world, I like to meet people, I know a lot of my country, but not from other countries and it makes me very interesting to know that they think outside my country.",from 19 to 32,no children,Straight,Other,social smoker,social drinker,Friendship,PERU
15110,male,31 y.o.,"Canc??n, Q.R., M??xico",single,juans23456789,hispanic,-,-,from 19 to 37,no children,Straight,Other,non-smoker,never,Marriage,PERU
15125,male,53 y.o.,"Cd Ju??rez, Chih., M??xico",divorced,Luissss,white,-,-,from 19 to 86,more than 2 living with me,Straight,Other,light smoker,occasional drinker,Serious Relationship,PERU
15187,male,59 y.o.,"Quer??taro, M??xico",single,Chocolo,white,Chofer,-,from 19 to 26,more than 2 living elsewhere,Straight,Other,non-smoker,never,Marriage,PERU
15197,female,45 y.o.,"Ciudad de M??xico, CDMX, M??xico",single,Arlyn,hispanic,-,-,from 19 to 86,no children,Straight,Christian,social smoker,social drinker,Friendship,PERU
15199,male,42 y.o.,"Puebla, M??xico",single,carlose6,white,-,-,from 19 to 86,want children,Straight,Other,social smoker,social drinker,Marriage,PERU
15202,male,47 y.o.,"Ciudad de M??xico, CDMX, M??xico",single,guillermom2,hispanic,-,-,from 19 to 34,1-2 living with me,Straight,Christian,social smoker,social drinker,Serious Relationship,PERU
15207,male,36 y.o.,"Villa Nicol??s Romero, M??x., M??xico",single,ewaldw,white,-,-,from 19 to 40,want children,Straight,Other,social smoker,social drinker,Serious Relationship,PERU
15208,male,37 y.o.,"Zapopan, Jal., M??xico",single,arjanj,middle eastern,-,-,from 26 to 32,no children,Straight,Atheist,social smoker,never,"Romance, Serious Relationship",PERU
15234,female,51 y.o.,"Monterrey, N.L., M??xico",divorced,Lylly,hispanic,Asesor fiscal,-,from 40 to 53,1-2 living with me,Straight,Christian,non-smoker,never,Friendship,PERU
15241,male,30 y.o.,"Tuxtla Guti??rrez, Chis., M??xico",single,andrike,hispanic,-,-,from 19 to 40,no children,Straight,Other,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship",PERU
15288,female,59 y.o.,"Ciudad de M??xico, CDMX, M??xico",separated,Felicia,hispanic,Dise??adora,"Me considero una persona tranquila, amo mi trabajo lo mas importante en vivir dia a dia en balance y armnonia con mi entorno",from 50 to 55,1-2 living with me,Straight,Spiritual,non-smoker,social drinker,Serious Relationship,PERU
15310,male,48 y.o.,"Morelia, Mich., M??xico",single,leonardoc2345,hispanic,-,-,from 19 to 86,no children,Straight,Christian,non-smoker,occasional drinker,"Fun, Friendship",PERU
15315,female,43 y.o.,"Tijuana, B.C., M??xico",single,cristinag,white,-,-,from 35 to 45,no children,Straight,Other,non-smoker,social drinker,"Friendship, Romance, Serious Relationship, Marriage",PERU
15348,male,36 y.o.,"Veracruz, Ver., M??xico",divorced,koreano,hispanic,Comerciante,-,from 19 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,Serious Relationship,PERU
15363,male,38 y.o.,"Guanajuato, Gto., M??xico",single,hugol2,hispanic,-,-,from 19 to 35,no children,Straight,Atheist,non-smoker,occasional drinker,"Friendship, Romance, Serious Relationship",PERU
15370,male,58 y.o.,"Ixtapaluca, M??x., M??xico",single,Armandiux52,hispanic,-,-,from 45 to 52,1-2 living with me,Straight,Other,non-smoker,never,Romance,PERU
15385,male,42 y.o.,"Tamaulipas, M??xico",single,EMMARDS,hispanic,ADMINISTRACION,-,from 19 to 30,want children,Straight,Spiritual,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",PERU
4526,female,35 y.o.,Macau,single,Cha,asian,Service crew,-,from 23 to 38,no children,Bisexual,Other,non-smoker,social drinker,"Friendship, Romance, Serious Relationship",PERU
10108,male,36 y.o.,Macau,single,rajheart,asian,casino worker,-,from 19 to 86,no children,Straight,Hindu,non-smoker,social drinker,"Friendship, Romance, Serious Relationship, Marriage",PERU
12953,female,43 y.o.,Macau,single,Chloe,asian,Domestic helper,-,from 30 to 55,no children,Straight,Christian,non-smoker,occasional drinker,Marriage,PERU
1482,male,32 y.o.,"Skopje, Macedonia (FYROM)",single,liridonm,white,-,-,from 19 to 86,no children,Straight,Muslim,light smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",PERU
1709,male,29 y.o.,"Ohrid, Macedonia (FYROM)",single,martinj23,white,-,-,from 19 to 50,no children,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship",PERU
1729,male,40 y.o.,"Prilep, Macedonia (FYROM)",single,Denim,white,-,-,from 19 to 86,want children,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",PERU
1956,female,35 y.o.,"Strumica, Macedonia (FYROM)",single,katerinag,white,-,-,from 19 to 86,no children,Straight,Christian,non-smoker,social drinker,Marriage,PERU
4706,male,43 y.o.,"Struga, Macedonia (FYROM)",single,Rechi1980,asian,-,-,from 19 to 50,1-2 living elsewhere,Bisexual,Muslim,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",PERU
5012,female,31 y.o.,"Skopje, Macedonia (FYROM)",married,aneto10,white,-,-,from 19 to 86,1-2 living with me,Straight,Christian,non-smoker,social drinker,Friendship,PERU
13170,male,47 y.o.,"Skopje, Macedonia (FYROM)",single,kristijan,mixed,-,-,from 19 to 86,no children,Straight,Other,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",PERU
14483,male,40 y.o.,"Kumanovo, Macedonia (FYROM)",single,Igorcoko,middle eastern,-,-,from 27 to 40,want children,Straight,Christian,chain smoker,occasional drinker,Serious Relationship,PERU
15030,male,42 y.o.,"Tetovo, Macedonia (FYROM)",-,besarh,-,-,-,from 30 to 40,-,-,-,-,-,"Friendship, Romance, Serious Relationship",PERU
3420,male,39 y.o.,"Antananarivo, Madagascar",single,Dylan,black,-,-,from 19 to 35,no children,Straight,Other,non-smoker,occasional drinker,Serious Relationship,PERU
1676,female,46 y.o.,"Lilongwe, Malawi",widowed,agnesn,black,-,-,from 42 to 65,1-2 living with me,Straight,Christian,non-smoker,social drinker,Friendship,PERU
1401,male,46 y.o.,"Johor, Malaysia",single,Iswaran,asian,-,-,from 28 to 40,no children,Straight,Hindu,social smoker,social drinker,"Serious Relationship, Marriage",PERU
1596,male,69 y.o.,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",separated,alagans,asian,-,-,from 45 to 63,1-2 living elsewhere,Straight,Hindu,non-smoker,never,"Friendship, Romance",PERU
2895,male,56 y.o.,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",single,javed104,asian,medical,-,from 30 to 48,1-2 living elsewhere,Straight,Muslim,social smoker,social drinker,"Friendship, Serious Relationship",PERU
3801,male,43 y.o.,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",divorced,Hawk911,middle eastern,-,-,from 25 to 40,1-2 living with me,Straight,Other,social smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",PERU
4250,male,45 y.o.,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",divorced,alirezam,middle eastern,-,-,from 19 to 86,no children,Straight,Other,social smoker,social drinker,Serious Relationship,PERU
4552,male,47 y.o.,"Gombak, 68100 Batu Caves, Selangor, Malaysia",divorced,Kmg1869,mixed,Executive,Simple and straightforward person. Looking for second chance in life.,from 35 to 48,1-2 living with me,Straight,Other,non-smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",PERU
4846,male,47 y.o.,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",divorced,Rex75,asian,-,-,from 19 to 86,1-2 living with me,Straight,Muslim,light smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",PERU
5250,male,38 y.o.,"Bahau, Negeri Sembilan, Malaysia",single,mckessson,asian,business owner,-,from 19 to 86,want children,Straight,Buddhist,non-smoker,never,Marriage,PERU
5467,male,46 y.o.,"Penang, Malaysia",in relationship,Alanbalan,asian,Project Engineer,-,from 19 to 86,don't want children,Straight,Hindu,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship",PERU
5479,male,59 y.o.,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",separated,DecentMan,asian,Engineer,A professional working in overseas.,from 35 to 40,1-2 living elsewhere,Straight,Other,light smoker,social drinker,"Friendship, Romance, Serious Relationship, Marriage",PERU
6018,male,51 y.o.,"Petaling District, Selangor, Malaysia",separated,Mohan,asian,Business,-,from 19 to 40,1-2 living with me,Straight,Other,social smoker,social drinker,Friendship,PERU
6111,male,63 y.o.,"Penang, Malaysia",separated,johnnyliaw,asian,safety officer,-,from 40 to 48,want children,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,PERU
6131,female,47 y.o.,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",single,jodipy,asian,Customer Service,"Looking to meet new friends to expand my social circle or more. ??Keep the friendly chats going & see where it leads us to... Meet up when we are both comfortable. Open & honest with my thoughts & feelings. Enjoy spending time alone just to read/listen to music. I'm 170cm tall, unlike the typical Asian. ??

Love to hear funny & interesting stuff about your trips abroad, food hunts & fav movies.",from 42 to 49,no children,Straight,Other,social smoker,never,"Friendship, Romance, Serious Relationship, Marriage",PERU
6258,male,43 y.o.,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",single,ashingtray,asian,artist,-,from 19 to 40,no children,Straight,Other,social smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship",PERU
6427,male,73 y.o.,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",widowed,Affendi,mixed,Retired,-,from 19 to 86,no children,Straight,Other,non-smoker,never,"Friendship, Serious Relationship",PERU
7320,male,56 y.o.,"Cheras, 56000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",single,Maghen50m,asian,Salesman,Im a friendly type person .i like travelling swiming on sea.i can b good companion to the nice girl,from 19 to 86,no children,Straight,Spiritual,light smoker,occasional drinker,"Friendship, Romance",PERU
7795,male,64 y.o.,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",divorced,radenbambang,middle eastern,business,-,from 19 to 86,want children,Straight,Other,light smoker,social drinker,Serious Relationship,PERU
8499,female,32 y.o.,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",single,Nisha,asian,Doctor,-,from 20 to 86,no children,Straight,Hindu,non-smoker,never,Friendship,PERU
8562,male,39 y.o.,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",single,Tupu,asian,Business,I m very simple..I have a great mentality..I m looking for good friend here ..tnx,from 19 to 86,no children,Straight,Hindu,non-smoker,social drinker,Friendship,PERU
10042,male,48 y.o.,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",divorced,kk7318,asian,-,-,from 36 to 46,1-2 living with me,Straight,Buddhist,non-smoker,social drinker,"Serious Relationship, Marriage",PERU
12343,male,38 y.o.,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",single,johnny69,asian,Businessman,-,from 19 to 86,no children,Straight,Other,non-smoker,social drinker,Fun,PERU
12972,male,51 y.o.,"Johor, Malaysia",single,James2976622,asian,Own business,"Simple, romantic, very passionate about things I do and very artistic in life style!
My woman is my everything!",from 19 to 35,no children,Straight,Other,non-smoker,social drinker,"Serious Relationship, Marriage",PERU
13234,male,39 y.o.,"Subang Jaya, Selangor, Malaysia",divorced,CCLow,asian,HR,-,from 27 to 35,1-2 living elsewhere,Straight,Buddhist,light smoker,occasional drinker,"Friendship, Romance, Serious Relationship",PERU
13646,male,53 y.o.,"Penang, Malaysia",divorced,drsaizawn70,asian,Doctor,"I am quite unconventional in many ways. Atheistic in outlook and firm proponent of scientific understanding of the universe base on reason and evidence. I oppose any form of dogmatism wether religious or not, but passionately supports freedom to believe. To me, the meaning of life is what we aspire it to be. Life itself is a gift of nature and to lead a meaningful life is to contribute to nature for the gift that it has bestowed us. To be able to enjoy life without the expenses of others during our brief existence under the sun, is the essence of life.",from 30 to 40,don't want children,Straight,Atheist,social smoker,social drinker,"Fun, Friendship, Romance",PERU
13854,male,55 y.o.,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",divorced,kalaia,asian,-,-,from 35 to 45,1-2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,"Serious Relationship, Marriage",PERU
13949,male,44 y.o.,"Sibu, Sarawak, Malaysia",single,Adam79,asian,Agriculture,"Just humble and simple me here..love ,sex,loneliness,take what's yours and leave the rest so i'll suvived,God it's good to be alive...",from 19 to 50,no children,Straight,Christian,social smoker,social drinker,Friendship,PERU
14241,male,38 y.o.,"Petaling, Selangor, Malaysia",single,krishana,asian,-,-,from 21 to 30,no children,Straight,Christian,non-smoker,occasional drinker,"Serious Relationship, Marriage",PERU
15002,female,58 y.o.,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",single,Cath,asian,Secretary,-,from 19 to 86,no children,Straight,Buddhist,non-smoker,occasional drinker,"Friendship, Romance, Serious Relationship",PERU
15075,male,51 y.o.,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",single,KUMARU,asian,Self employed,-,from 19 to 25,no children,Straight,Muslim,non-smoker,occasional drinker,Romance,PERU
15215,male,61 y.o.,"Selangor, Malaysia",divorced,chrls,asian,Semi-retired,-,from 44 to 54,1-2 living elsewhere,Straight,Buddhist,non-smoker,social drinker,"Friendship, Romance, Serious Relationship",PERU
12996,male,38 y.o.,"Male, Mal??, Maldives",single,Malaa19,asian,Ship captaion,-,from 25 to 34,1-2 living elsewhere,Straight,Muslim,non-smoker,never,Serious Relationship,PERU
457,male,30 y.o.,"Qormi, Malta",single,Zinoune,mixed,pizzaiolo,-,from 24 to 86,no children,Straight,Muslim,light smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",PERU
468,male,49 y.o.,"Luqa, Malta",separated,freebird74,white,-,Hi Im an introvert person but opens up once comfortable,from 38 to 55,1-2 living elsewhere,Straight,Christian,light smoker,social drinker,Friendship,PERU
967,male,43 y.o.,"Valletta, Malta",divorced,Masblaster02,white,-,-,from 19 to 60,1-2 living with me,Straight,Christian,light smoker,social drinker,"Fun, Friendship",PERU
996,male,46 y.o.,"Valletta, Malta",single,Siciliano,white,Artist,"I'm Italian fom sicily currently in England
I will move to Malta in February.. 
Will be nice to make new friendship here",from 25 to 60,no children,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",PERU
1724,male,63 y.o.,"??a??-??abbar, Malta",widowed,Brock,white,Bank manager,-,from 19 to 86,1-2 living with me,Straight,Christian,social smoker,occasional drinker,Serious Relationship,PERU
1844,male,41 y.o.,"Attard, Malta",single,jus018,white,Liaison Officer,-,from 19 to 86,no children,Straight,Christian,non-smoker,social drinker,Serious Relationship,PERU
1965,male,37 y.o.,"Qormi, Malta",single,claytons,white,-,-,from 19 to 86,1-2 living elsewhere,Straight,Christian,light smoker,occasional drinker,"Romance, Serious Relationship",PERU
2343,male,49 y.o.,"Swieqi, Malta",single,Lickman,white,Handyman,-,from 21 to 62,no children,Straight,Other,social smoker,social drinker,"Fun, Friendship",PERU
2795,male,40 y.o.,"Marsaskala, Malta",single,Ctpazzo,white,-,-,from 19 to 86,no children,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship",PERU
2823,male,44 y.o.,"Bugibba, St Paul's Bay, Malta",single,dusanm,white,-,-,from 19 to 86,no children,Straight,Other,light smoker,social drinker,Friendship,PERU
3561,male,33 y.o.,"Sliema, Malta",single,Jack90,white,-,-,from 19 to 86,no children,Straight,Atheist,non-smoker,never,"Fun, Friendship, Romance",PERU
3790,male,59 y.o.,"Birkirkara, Malta",single,johnp3,white,-,-,from 40 to 52,no children,Straight,Christian,light smoker,occasional drinker,Friendship,PERU
4305,female,35 y.o.,"St Paul's Bay, Malta",married,ismus,white,deliveryman,-,from 19 to 86,1-2 living with me,Straight,Christian,non-smoker,social drinker,"Fun, Romance",PERU
4838,male,64 y.o.,"Valletta, Malta",in relationship,johnv,white,self employed,-,from 19 to 86,1-2 living with me,Straight,Spiritual,light smoker,social drinker,Fun,PERU
4849,male,32 y.o.,"Birgu, Malta",single,richardr234,white,-,-,from 19 to 36,want children,Straight,Christian,social smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",PERU
4914,male,37 y.o.,"Valletta, Malta",single,Jemes,white,-,-,from 19 to 86,no children,Straight,Muslim,light smoker,never,"Romance, Serious Relationship, Marriage",PERU
4989,male,69 y.o.,"Attard, Malta",widowed,Playmisty,white,Retired,-,from 40 to 55,1-2 living with me,Straight,Spiritual,social smoker,social drinker,"Fun, Friendship",PERU
5057,male,48 y.o.,"Sliema, Malta",single,cornel,white,-,-,from 20 to 50,no children,Straight,Christian,light smoker,occasional drinker,"Fun, Friendship, Romance",PERU
5156,male,36 y.o.,"Naxxar, Malta",in relationship,graciousvalentino,asian,Engineer,-,from 19 to 86,no children,Straight,Christian,non-smoker,occasional drinker,Friendship,PERU
